video_id,title,category,published_at,view_count,like_count,comment_count,region,engagement rate,hour,day_of_week
QlYrNC_1Xmk,Stranger Things 5 | Date Announcement | Netflix,Entertainment,2025-06-01 01:32:38+00:00,7253758,384382,19074,US,0.05562027296747424,1,Sunday
QAbl7ZAy1dY,PSG vs. Inter: Extended Highlights | UCL Final | CBS Sports Golazo,Sports,2025-05-31 21:27:08+00:00,1361040,18874,3609,US,0.016518985481690472,21,Saturday
zgGTVaG2UiQ,Squid Game: Season 3 | Official Trailer | Netflix,Entertainment,2025-06-01 00:20:10+00:00,12023037,448454,23504,US,0.03925447455580483,0,Sunday
6iyoatNzAZU,Dark Days Are Upon Us | Clash of Clans New Season,Gaming,2025-06-01 08:00:10+00:00,1917548,48203,2998,US,0.02670128726894972,8,Sunday
84o1Q6fB20k,Dexter: Resurrection | Official Trailer | Paramount+ with SHOWTIME,People & Blogs,2025-05-31 23:39:49+00:00,1431239,38092,4832,US,0.029990798182553718,23,Saturday
EUuaUlHbb-E,Gen V Season 2 - Teaser Trailer | Prime Video,Entertainment,2025-06-01 01:00:16+00:00,2495342,79543,3071,US,0.03310728549433304,1,Sunday
J3i3F2e4IYs,What Everyone Gets Wrong About Football (ft. Tom Brady),Education,2025-06-01 05:31:02+00:00,1475007,60703,4279,US,0.044055384143939655,5,Sunday
CWE8-KrZhhc,INFERNO DRAGON HIRED A MANAGER?!,Gaming,2025-05-31 10:55:06+00:00,1742373,37126,2999,US,0.0230289381205976,10,Saturday
Xejz9UKIXis,"Plant vs Resendiz HIGHLIGHTS: May 31, 2025 | PBC on Prime Video",Sports,2025-06-01 03:39:39+00:00,300734,5424,1901,US,0.024357073027991515,3,Sunday
kp-VcqiVZHs,I ATTEMPT AN AMERICAN NINJA WARRIOR COURSE,Gaming,2025-05-31 21:12:51+00:00,371527,30326,1489,US,0.08563307646550587,21,Saturday
ckZIdd-8Pm4,Doue Stars As PSG Conquer Europe ğŸ† | PSG 5-0 Inter | UEFA Champions League Final Highlights,Sports,2025-05-31 21:23:05+00:00,1911616,25243,3199,GB,0.014878511165422345,21,Saturday
QlYrNC_1Xmk,Stranger Things 5 | Date Announcement | Netflix,Entertainment,2025-06-01 01:32:38+00:00,7253758,384382,19074,GB,0.05562027296747424,1,Sunday
zgGTVaG2UiQ,Squid Game: Season 3 | Official Trailer | Netflix,Entertainment,2025-06-01 00:20:10+00:00,12023037,448454,23504,GB,0.03925447455580483,0,Sunday
84o1Q6fB20k,Dexter: Resurrection | Official Trailer | Paramount+ with SHOWTIME,People & Blogs,2025-05-31 23:39:49+00:00,1431239,38092,4832,GB,0.029990798182553718,23,Saturday
6iyoatNzAZU,Dark Days Are Upon Us | Clash of Clans New Season,Gaming,2025-06-01 08:00:10+00:00,1917548,48203,2998,GB,0.02670128726894972,8,Sunday
EUuaUlHbb-E,Gen V Season 2 - Teaser Trailer | Prime Video,Entertainment,2025-06-01 01:00:16+00:00,2495342,79543,3071,GB,0.03310728549433304,1,Sunday
9I9lj1tw6Js,What Can Â£100 Get You In Egypt,People & Blogs,2025-05-31 18:00:01+00:00,740612,35737,1812,GB,0.05069996165333535,18,Saturday
XgLpmL9p3Go,The Fifteenth Doctor Regenerates | Doctor Who - BBC,Entertainment,2025-05-31 18:57:04+00:00,205475,4202,2422,GB,0.032237498479133715,18,Saturday
hYcAsNCH7Zc,E X P A N D I N G to THE STARS in Factorio,Gaming,2025-06-01 02:40:19+00:00,946722,88525,6524,GB,0.10039800490534709,2,Sunday
J3i3F2e4IYs,What Everyone Gets Wrong About Football (ft. Tom Brady),Education,2025-06-01 05:31:02+00:00,1475007,60703,4279,GB,0.044055384143939655,5,Sunday
DgZ2IH1th5c,EPL 4 | R2H,Entertainment,2025-05-30 11:29:44+00:00,15387863,1310189,96518,IN,0.091416657400706,11,Friday
BtmoYuGQAL0,SOMETHING FISHY! | Final Part  | Karikku | Comedy,Comedy,2025-05-30 16:53:27+00:00,4578437,211721,7665,IN,0.04791722590045468,16,Friday
zgGTVaG2UiQ,Squid Game: Season 3 | Official Trailer | Netflix,Entertainment,2025-06-01 00:20:10+00:00,12023037,448454,23504,IN,0.03925447455580483,0,Sunday
h7jd9ugX6x4,We Found 100 Years Old Treasure - à¤¸à¤š à¤®à¥‡à¤‚ à¤–à¤œà¤¾à¤¨à¤¾ à¤®à¤¿à¤² à¤—à¤¯à¤¾ ğŸ¤© 72 Hours Challenge | Part - 3,Science & Technology,2025-05-31 13:15:47+00:00,2280122,133232,10659,IN,0.06310671095669443,13,Saturday
ZyMy3IvH3xI,Secret Room Making Challenge Part-4 | à¤•à¥à¤¯à¤¾ à¤®à¥ˆà¤‚ à¤¯à¥‡ à¤¸à¥€à¤•à¥à¤°à¥‡à¤Ÿ à¤°à¥‚à¤® à¤¢à¥‚à¤à¤¢ à¤ªà¤¾à¤Šà¤à¤—à¤¾? BIG SURPRISE,Science & Technology,2025-05-30 07:45:13+00:00,5062721,266399,77337,IN,0.0678955052036247,7,Friday
czrb3GO0xJA,"Yeh Rishta Kya Kehlata Hai Today Episode PROMO: Anshuman Enters as Tanyaâ€™s Brother, Abhira Shocked!",Entertainment,2025-06-01 02:47:32+00:00,777951,6090,108,IN,0.007967082759711088,2,Sunday
WHj6RE2vVA8,Women ki Duniya | Take A Break,Comedy,2025-06-01 03:30:21+00:00,939489,45691,3168,IN,0.0520059308837038,3,Sunday
0ORF723hDyg,Alhamdulillah Baby Ghar aa gaya ğŸ¡ğŸ‘¼ğŸ»ğŸ’•,People & Blogs,2025-05-31 09:31:56+00:00,2421145,99893,5654,IN,0.043593836800356854,9,Saturday
nsviVY9whKs,Thozha  - Back to Back Scenes |  Karthi | Nagarjuna | Tamannaah | Watch Full Movie Now in Sun NXT,Entertainment,2025-05-31 14:01:15+00:00,417935,3501,65,IN,0.008532427291325206,14,Saturday
YbCF6OqTWug,Muththa Mazhai - Chinmayi Performance | Thug Life | Kamal Haasan | Mani Ratnam | STR | AR Rahman,Music,2025-05-28 13:41:50+00:00,5015099,161441,7362,IN,0.033658956682609854,13,Wednesday
66DgwxB475o,çµå©šã—ã¾ã™,Entertainment,2025-05-31 10:30:03+00:00,3464766,83216,11078,JP,0.027215113517045596,10,Saturday
ItIwfjsgY0A,ã“ã®ä¸­ã«å˜˜ã¤ããŒã„ã¾ã™ #ãƒ’ã‚«ãƒ« #é€²æ’ƒã®ãƒã‚¢ #äººç‹¼ã‚²ãƒ¼ãƒ ,Entertainment,2025-05-31 10:30:20+00:00,359566,5573,467,JP,0.016798028734641205,10,Saturday
mex72uZyaFo,ä¸­å›½ã§æœ€ã‚‚åæ—¥ãªéƒ½å¸‚ã®å…‰ã¨å ±é“ã•ã‚Œãªã„é—‡ã®å®Ÿæ…‹...,People & Blogs,2025-05-31 09:01:13+00:00,527102,15219,1672,JP,0.03204503113249428,9,Saturday
lLEVxjBOHqc,è¥¿å®®å¸‚ã®æ•™ç¿’æ‰€å†…ã€€ãƒã‚¤ã‚¯ã«ä¹—ã£ã¦ã„ãŸ20ä»£å¥³æ€§ãŒæŸ±ã«è¡çªã—æ­»äº¡,News & Politics,2025-05-31 12:44:02+00:00,241421,576,0,JP,0.0023858736398242077,12,Saturday
tAgKTI7Pm0g,ã€ä¿ºãŸã¡ã®æ—…ã€50å‘¨å¹´ã§æ˜ ç”»åŒ–ã€€æ‡ã‹ã—ã®ãƒ¡ãƒ³ãƒãƒ¼å‹¢ãã‚ã„ã€Œã‹ã¤ã¦è‹¥è€…ã ã£ãŸ3äººãŒã©ã†ãªã£ã¦ã‚“ã®ã‹ã€,News & Politics,2025-05-30 21:40:00+00:00,899617,11197,1235,JP,0.013819214176699639,21,Friday
CUUcjUV550k,ã€ç››ã‚Œã¦ã¯ã„ã‘ãªã„æ—…è¡Œã€‘å½¼æ°ã«ç‰©ç”³ã—ãŸã„ã“ã¨ãŒã‚ã‚Šã¾ã™,Comedy,2025-05-31 11:00:16+00:00,288104,6991,152,JP,0.024793130258517756,11,Saturday
jlNAWIxm4lc,å‘¨å¹³ã ï¼æ¿å±±ã ï¼è¦‹äº‹é€†è»¢å‹ã¡ï¼ã€5æœˆ31æ—¥ å…¬å¼æˆ¦ ä¸­æ—¥ vs å·¨äºº ãƒã‚¤ãƒ©ã‚¤ãƒˆã€‘,Sports,2025-05-31 11:22:29+00:00,148666,1808,276,JP,0.01401800008071785,11,Saturday
dnocz0wRiVg,æ¨ã¦çŠ¬ã‚’è¦‹ã¤ã‘ãŸï¼æœ€é«˜ã®ãŠå®¶ã‚’ä½œã£ã¦å¹¸ã›ã«ã—ã¦ã‚ã’ã‚ˆã†ğŸ¶ğŸµã€ãƒã‚¤ã‚¯ãƒ© / ãƒã‚¤ãƒ³ã‚¯ãƒ©ãƒ•ãƒˆ / Minecraftã€‘ã€ãŸã¾ã¡ã‚ƒã‚“ã€‘,Gaming,2025-05-31 07:05:54+00:00,209680,5426,530,JP,0.02840518885921404,7,Saturday
muOTgTeMll0,ã€Kanariaã€‘KINGã€ã‚»ãƒ«ãƒ•ã‚«ãƒãƒ¼ã€‘,Music,2025-05-31 10:00:03+00:00,605043,72012,2672,JP,0.12343585497229123,10,Saturday
JkxlmgKkJ1c,è¦ªå‹ãƒ’ã‚«ãƒ«ã®çµå©šã«ã¤ã„ã¦,Entertainment,2025-05-31 10:45:01+00:00,171165,4550,267,JP,0.028142435661496216,10,Saturday
